datetime,open,high,low,close,macd,signal,hist
2026-06-29 02:50:00,59791.55,59791.55,59698.44,59709.76,68.94613707030658,1.2326780251080183,67.71345904519856
2026-06-29 02:55:00,59709.76,59803.0,59709.75,59757.46,78.9234754278441,16.770837505655233,62.15263792218886
2026-06-29 03:00:00,59757.47,59992.0,59757.47,59918.41,89.64619379426586,31.34590876337736,58.300285030888496
2026-06-29 03:05:00,59918.41,60186.81,59918.41,60081.03,109.8648911606142,47.04970524282473,62.81518591778948
2026-06-29 03:10:00,60081.04,60168.34,59992.0,60003.71,137.42626498141908,65.1250171905436,72.30124779087548
2026-06-29 03:15:00,60003.71,60025.52,59966.0,60003.72,151.28584543952456,82.35718284033979,68.92866259918478
2026-06-29 03:20:00,60003.72,60104.0,59987.23,60098.03,160.42123359969992,97.96999299221181,62.4512406074881
2026-06-29 03:25:00,60098.03,60233.0,60064.31,60172.68,173.27373163288576,113.0307407203466,60.242990912539156
2026-06-29 03:30:00,60172.68,60209.35,60031.69,60057.67,187.32370893372718,127.88933436302271,59.43437457070446
2026-06-29 03:35:00,60057.67,60063.75,59878.27,59923.04,187.0221958909824,139.71590666861465,47.30628922236775
2026-06-29 03:40:00,59923.04,59950.0,59880.0,59920.01,173.91494554819656,146.55571444453102,27.359231103665536
2026-06-29 03:45:00,59920.01,60027.17,59881.45,60000.01,161.4220862135553,149.5289887983359,11.893097415219415
2026-06-29 03:50:00,60000.0,60076.01,59956.31,60014.01,156.17643190620583,150.8584774199099,5.317954486295946
2026-06-29 03:55:00,60014.01,60058.0,59957.49,60049.46,151.4036095069241,150.96750383731273,0.4361056696113792
2026-06-29 04:00:00,60049.45,60053.99,59974.48,59998.92,148.7667417068369,150.52735141121758,-1.7606097043806699
2026-06-29 04:05:00,59998.92,60000.0,59934.24,59948.95,140.97379124572035,148.61663937811812,-7.6428481323977735
2026-06-29 04:10:00,59948.95,59960.0,59900.0,59924.0,129.27545351982553,144.74840220645962,-15.472948686634084
2026-06-29 04:15:00,59924.0,59978.0,59911.83,59928.01,116.6465512728173,139.12803201973117,-22.48148074691386
2026-06-29 04:20:00,59928.01,59946.0,59846.0,59945.99,105.74269280268345,132.45096417632163,-26.708271373638183
2026-06-29 04:25:00,59946.0,60000.01,59941.03,59955.14,97.42904080695735,125.44657950244877,-28.017538695491425
2026-06-29 04:30:00,59955.13,59963.95,59890.55,59895.47,90.53510786664265,118.46428517528754,-27.929177308644896
2026-06-29 04:35:00,59895.47,59905.73,59812.0,59824.42,79.34213923400966,110.63985598703196,-31.2977167530223
2026-06-29 04:40:00,59824.42,59845.28,59746.0,59845.26,64.0007291744405,101.31203062451367,-37.311301450073174
2026-06-29 04:45:00,59845.26,59846.0,59786.0,59832.48,52.914203011816426,91.63246510197422,-38.71826209015779
2026-06-29 04:50:00,59832.48,59906.0,59810.99,59877.99,42.60568020050414,81.8271081216802,-39.22142792117606
2026-06-29 04:55:00,59878.0,59878.0,59795.92,59830.0,37.6740947477665,72.99650544689746,-35.322410699130955
2026-06-29 05:00:00,59830.01,59861.57,59692.45,59695.99,29.552720450061315,64.30774844753023,-34.755027997468915
2026-06-29 05:05:00,59696.0,59696.0,59470.58,59564.03,12.162780809980177,53.87875492002022,-41.715974110040044
2026-06-29 05:10:00,59564.03,59594.0,59392.02,59534.01,-12.127146609571355,40.67757461410191,-52.80472122367326
2026-06-29 05:15:00,59534.01,59715.45,59534.01,59598.01,-33.414273258968024,25.85920503948792,-59.27347829845594
2026-06-29 05:20:00,59599.99,59670.0,59596.67,59662.0,-44.606018944286916,11.766160242732955,-56.37217918701987
2026-06-29 05:25:00,59662.0,59717.93,59661.99,59685.99,-47.761534578719875,-0.13937872155761077,-47.62215585716226
2026-06-29 05:30:00,59685.99,59799.99,59646.0,59799.99,-47.77578147659369,-9.666659272564827,-38.109122204028864
2026-06-29 05:35:00,59800.0,59836.0,59720.0,59762.0,-38.148473131899664,-15.363022044431794,-22.78545108746787
2026-06-29 05:40:00,59761.99,59770.72,59731.99,59744.0,-33.201511059764016,-18.93071984749824,-14.270791212265777
