datetime,open,high,low,close,atr_14
2026-06-29 02:50:00,59791.55,59791.55,59698.44,59709.76,183.2168600355047
2026-06-29 02:55:00,59709.76,59803.0,59709.75,59757.46,176.78065574725443
2026-06-29 03:00:00,59757.47,59992.0,59757.47,59918.41,170.81418033673626
2026-06-29 03:05:00,59918.41,60186.81,59918.41,60081.03,175.366024598398
2026-06-29 03:10:00,60081.04,60168.34,59992.0,60003.71,182.0113085556549
2026-06-29 03:15:00,60003.71,60025.52,59966.0,60003.72,181.6062150873936
2026-06-29 03:20:00,60003.72,60104.0,59987.23,60098.03,172.88577115257954
2026-06-29 03:25:00,60098.03,60233.0,60064.31,60172.68,168.87750178453794
2026-06-29 03:30:00,60172.68,60209.35,60031.69,60057.67,168.86410879992826
2026-06-29 03:35:00,60057.67,60063.75,59878.27,59923.04,169.49238674279027
2026-06-29 03:40:00,59923.04,59950.0,59880.0,59920.01,170.63435911830547
2026-06-29 03:45:00,59920.01,60027.17,59881.45,60000.01,163.44619060985505
2026-06-29 03:50:00,60000.0,60076.01,59956.31,60014.01,162.18003413772263
2026-06-29 03:55:00,60014.01,60058.0,59957.49,60049.46,159.14574598502847
2026-06-29 04:00:00,60049.45,60053.99,59974.48,59998.92,154.95747841466942
2026-06-29 04:05:00,59998.92,60000.0,59934.24,59948.95,149.5683728136212
2026-06-29 04:10:00,59948.95,59960.0,59900.0,59924.0,143.5820604697913
2026-06-29 04:15:00,59924.0,59978.0,59911.83,59928.01,137.61191329337763
2026-06-29 04:20:00,59928.01,59946.0,59846.0,59945.99,132.50891948670767
2026-06-29 04:25:00,59946.0,60000.01,59941.03,59955.14,130.1868538090857
2026-06-29 04:30:00,59955.13,59963.95,59890.55,59895.47,125.1006499655798
2026-06-29 04:35:00,59895.47,59905.73,59812.0,59824.42,121.4077463966094
2026-06-29 04:40:00,59824.42,59845.28,59746.0,59845.26,119.43076451113753
2026-06-29 04:45:00,59845.26,59846.0,59786.0,59832.48,117.99142418891334
2026-06-29 04:50:00,59832.48,59906.0,59810.99,59877.99,113.84917960399096
2026-06-29 04:55:00,59878.0,59878.0,59795.92,59830.0,112.50352391799176
2026-06-29 05:00:00,59830.01,59861.57,59692.45,59695.99,110.33041506670676
2026-06-29 05:05:00,59696.0,59696.0,59470.58,59564.03,114.52967113337074
2026-06-29 05:10:00,59564.03,59594.0,59392.02,59534.01,122.45040890955842
2026-06-29 05:15:00,59534.01,59715.45,59534.01,59598.01,128.13109398744731
2026-06-29 05:20:00,59599.99,59670.0,59596.67,59662.0,131.93887298834358
2026-06-29 05:25:00,59662.0,59717.93,59661.99,59685.99,127.75252491774772
2026-06-29 05:30:00,59685.99,59799.99,59646.0,59799.99,122.62305885219448
2026-06-29 05:35:00,59800.0,59836.0,59720.0,59762.0,124.86355464846615
2026-06-29 05:40:00,59761.99,59770.72,59731.99,59744.0,124.23044360214713
