datetime,open,high,low,close,volume
2026-06-29 00:00:00,59577.01,59582.0,59391.4,59406.01,38.43543
2026-06-29 00:05:00,59406.0,59446.0,59270.73,59446.0,44.026650000000004
2026-06-29 00:10:00,59446.0,59694.0,59440.0,59584.0,34.27628
2026-06-29 00:15:00,59584.0,59597.99,59350.75,59402.0,25.75839
2026-06-29 00:20:00,59402.0,59405.96,59192.12,59305.99,48.9333
2026-06-29 00:25:00,59306.0,59355.95,59214.0,59214.01,26.71605
2026-06-29 00:30:00,59214.01,59251.99,59012.01,59221.98,90.69839999999999
2026-06-29 00:35:00,59221.97,59221.97,59000.01,59104.01,76.42937
2026-06-29 00:40:00,59104.0,59380.02,59102.0,59380.02,35.26106
2026-06-29 00:45:00,59380.01,59380.01,59177.0,59309.99,41.00448
2026-06-29 00:50:00,59310.0,59497.6,59306.0,59495.37,40.76666
2026-06-29 00:55:00,59496.0,59700.0,59496.0,59667.01,47.011399999999995
2026-06-29 01:00:00,59667.0,59697.0,59464.02,59471.14,42.162819999999996
2026-06-29 01:05:00,59471.15,59628.0,59471.14,59540.01,21.154880000000002
2026-06-29 01:10:00,59540.01,59552.0,59460.0,59482.12,15.03005
2026-06-29 01:15:00,59482.12,59512.72,59232.16,59294.0,36.07713
2026-06-29 01:20:00,59293.99,59349.64,59244.0,59338.01,31.578500000000002
2026-06-29 01:25:00,59338.01,59440.0,59296.0,59300.1,20.71065
2026-06-29 01:30:00,59300.1,59366.0,59206.0,59253.99,31.82931
2026-06-29 01:35:00,59254.0,59496.0,59242.0,59487.99,34.69219
2026-06-29 01:40:00,59488.0,59574.0,59488.0,59546.01,34.29555
2026-06-29 01:45:00,59546.01,59588.0,59460.0,59562.01,175.34505
2026-06-29 01:50:00,59562.01,59572.0,59434.0,59489.99,187.93247
2026-06-29 01:55:00,59490.0,59527.9,59440.94,59440.95,16.245269999999998
2026-06-29 02:00:00,59440.95,59512.72,59362.0,59405.53,29.72271
2026-06-29 02:05:00,59405.53,59440.0,59244.9,59244.91,31.41502
2026-06-29 02:10:00,59244.91,59268.0,58900.01,59023.9,117.35914
2026-06-29 02:15:00,59024.0,59219.99,58980.0,59136.0,137.09329000000002
2026-06-29 02:20:00,59136.0,59338.11,59136.0,59297.68,42.74629
2026-06-29 02:25:00,59297.68,59596.0,59290.01,59546.0,58.36365
2026-06-29 02:30:00,59545.99,59566.0,59496.43,59512.71,70.31336
2026-06-29 02:35:00,59512.72,59700.0,59512.71,59653.94,188.76149
2026-06-29 02:40:00,59653.94,59800.0,59642.37,59777.51,89.51606
2026-06-29 02:45:00,59777.5,59812.0,59712.09,59791.54,178.37088
2026-06-29 02:50:00,59791.55,59791.55,59698.44,59709.76,173.51202999999998
2026-06-29 02:55:00,59709.76,59803.0,59709.75,59757.46,106.68946
2026-06-29 03:00:00,59757.47,59992.0,59757.47,59918.41,151.55121
2026-06-29 03:05:00,59918.41,60186.81,59918.41,60081.03,232.33129
2026-06-29 03:10:00,60081.04,60168.34,59992.0,60003.71,39.61302
2026-06-29 03:15:00,60003.71,60025.52,59966.0,60003.72,21.10466
2026-06-29 03:20:00,60003.72,60104.0,59987.23,60098.03,48.5552
2026-06-29 03:25:00,60098.03,60233.0,60064.31,60172.68,79.30254
2026-06-29 03:30:00,60172.68,60209.35,60031.69,60057.67,47.44409
2026-06-29 03:35:00,60057.67,60063.75,59878.27,59923.04,40.935159999999996
2026-06-29 03:40:00,59923.04,59950.0,59880.0,59920.01,27.20736
2026-06-29 03:45:00,59920.01,60027.17,59881.45,60000.01,28.53182
2026-06-29 03:50:00,60000.0,60076.01,59956.31,60014.01,23.68164
2026-06-29 03:55:00,60014.01,60058.0,59957.49,60049.46,40.62726
2026-06-29 04:00:00,60049.45,60053.99,59974.48,59998.92,25.59333
2026-06-29 04:05:00,59998.92,60000.0,59934.24,59948.95,15.25302
2026-06-29 04:10:00,59948.95,59960.0,59900.0,59924.0,15.32441
2026-06-29 04:15:00,59924.0,59978.0,59911.83,59928.01,18.63883
2026-06-29 04:20:00,59928.01,59946.0,59846.0,59945.99,29.73248
2026-06-29 04:25:00,59946.0,60000.01,59941.03,59955.14,40.37847
2026-06-29 04:30:00,59955.13,59963.95,59890.55,59895.47,17.86351
2026-06-29 04:35:00,59895.47,59905.73,59812.0,59824.42,26.06557
2026-06-29 04:40:00,59824.42,59845.28,59746.0,59845.26,74.87959000000001
2026-06-29 04:45:00,59845.26,59846.0,59786.0,59832.48,69.05013
2026-06-29 04:50:00,59832.48,59906.0,59810.99,59877.99,14.372499999999999
2026-06-29 04:55:00,59878.0,59878.0,59795.92,59830.0,14.317279999999998
2026-06-29 05:00:00,59830.01,59861.57,59692.45,59695.99,23.12395
2026-06-29 05:05:00,59696.0,59696.0,59470.58,59564.03,74.97626
2026-06-29 05:10:00,59564.03,59594.0,59392.02,59534.01,104.55143999999999
2026-06-29 05:15:00,59534.01,59715.45,59534.01,59598.01,28.75967
2026-06-29 05:20:00,59599.99,59670.0,59596.67,59662.0,17.62127
2026-06-29 05:25:00,59662.0,59717.93,59661.99,59685.99,15.57094
2026-06-29 05:30:00,59685.99,59799.99,59646.0,59799.99,23.235129999999998
2026-06-29 05:35:00,59800.0,59836.0,59720.0,59762.0,25.19359
2026-06-29 05:40:00,59761.99,59770.72,59731.99,59744.0,18.02908
